Authors,location,rating,date,comment
Greg Grant,GB,Rated 1 out of 5 stars,19 Nov 2021,"Legalised theftAirbnb refund policy is a sham, as is their claim to value customer safety and security. They give hosts your phone and email then refuse to acknowledge their unreasonable and dishonest statements because it's not ""valid"" evidence when made off-app. So why provide them with Guest contact details and encourage you to phone/message after booking? They also won't say whether negative reviews for this property have been hidden, which I suspect they have been. Why? Because less people would book and less money for them. Customer service is basically a process of agents being assigned your case then telling you that they are on holiday and will contact you in a few days but they don't. This has happened 10+ times now, so it's clearly a designed system to mug off consumers. Avoid, avoid, avoid.I will be taking them to court if I don't get a refund."
David,GB,Rated 1 out of 5 stars,18 Nov 2021,"Awful, awful company. Their service and complaints centre is so poor. I've only used AirBNB a few times, but I've had so much trouble in cancelled bookings and scammers not giving refunds back. Avoid."
Leanne Matthews,IM,Rated 1 out of 5 stars,13 Nov 2021,"Absolutely shocking service. No protection for people booking with them. Refunds are ‘at the host discretion’ even when there are clearly big issues with a property not being as described and the host accused us of planting stuff when we complained about the cleanliness (because I always carry bags of dust around with me). Air BNB said the host provided pictures to prove it was clean. No idea how they were more compelling than pictures we provided to show the opposite, which can only have been taken on the day we arrived as we left the following morning.Air BNB also won’t publish your review of a property without it going to the host for them to review you too and somehow, despite lots of reviews mentioning issues and cleanliness, the property had a high rating so this is clearly manipulated.I’ll never use Air BNB again. Waste of time."
JanetteG,GB,Rated 1 out of 5 stars,3 Nov 2021,"Wish I could give minus starsI feel very let down by Airbnb and the host Craig from Beattock. I booked and paid for a weeks holiday which was subsequently cancelled by the host with less than 24 hours notice, due to previous renters having broke the boiler. I was promised a full refund which when it finally arrived I found I had been underpaid £155.70. I raised this with both the host and Airbnb and have just been informed Airbnb can’t get involved as the host paid the refund direct. Why should I be out of pocket through no fault of my own! First time booking with this site never again!!!!!!"
MR YESUBABU POTHINENI,GB,Rated 1 out of 5 stars,29 Oct 2021,"Booked a cottage through Airbnb in Aug 2021 along with Ferry etc. A day before the start date, got an email from the cottage owner saying that the accommodation has been cancelled,  Then booked another flat through Airbnb immediately ( a lot expensive than original booking).  Just an hour before the check in start time, got an email from the flat owner saying that unfortunately they can't provide the accommodation.  I had to return back home as  I couldn't find any accommodation, wasting ferry tickets etc, more importantly with very very unhappy kids. Airbnb doesn't have any control on the accommodation. Don't waste your time and money by booking through Airbnnb. Use proper hotels/holiday providers."
Ashish A Maheshwari,GB,Rated 1 out of 5 stars,1 Oct 2021,"Avoid Airbnb, pathetic customer service. Lot of properties are described wrongly and as a guest have wasted lot of time and missed out on property at last minute and Airbnb just claimed that it is host's problem and not their.... i left with no home in budget for which lot of properties were available earlier...."
Bradley Smith,GB,Rated 1 out of 5 stars,25 Sept 2021,"After 7 years, I can no longer be an AirBnB customer.Rented a property in Bradford for 14 nights only to find after the first two nights that it was impossible for any us (3 guests) to sleep due to drag racing around the flat until 4am and loud conversations happening on the street throughout the evening. We only tried to stay the second night as a courtesy to the host.Cancelled after 30 hours and was told an AirBnB representative would contact me regarding a full refund of the remaining nights. However, they simply texted me a notice saying that, as I had not cancelled within 24 hours of check in, a full refund of the remaining nights was not possible.To summarise, this has cost us £1,200 for two nights in a flat that no one could sleep in. Shameful practice by the AirBnB host but equally shameful practice by AirBnB, retaining the entire booking fee and not fulfilling their promise to call me back.I attempted 4 times to follow up with AirBnB and each time was told that someone would call me back, only to receive a text via their app that the matter was closed. Cowardly and callous customer relations. No more."
Valerie,IE,,Updated 20 Sept 2021,"I have been hosting for a few years and did not have any problems until this year when I had to cancel some bookings due to covid 19 for the safety of my clients and my familyRecently I relisted and was welcomed back by Airbnb, I was aware there may be a penalty for cancellation but under the circumstances exceptions would be madeAirbnb did not contact me to inform me of any penalties and I happily accepted bookings, I have now hosted three times and have received nothing, no payouts, I have had some lovely people stay in my house but not a cent paid outI am warning hosts and future hosts about this despicable behaviour from Airbnb and now I have no option but to discontinue working with this underhand company"
Mel,GB,Rated 1 out of 5 stars,18 Sept 2021,"I checked in to my accommodation. They told me there was security issues and I had to check out with no warning and no alternative place to go - for a month!!! They didn't even tell me what the security issues were. I phoned and told me they'll reimburse a night in a hotel for me. I paid for this and waiting patiently for acknowledgement of the receipt I sent them.They sent me a link to alternative accommodation...  in Madrid. I'm in Barcelona! I found alternative accommodation myself, they gave me no help or support. I phoned and messaged numerous times. I've raised a case with PayPal about receiving my refund for the original accommodation, but as for the reimbursement, I have no idea if I'll get that.They had zero concern for me, a young solo female. It is absolutely inexcusable. I'm left out of pocket because their incompetency. It's only a matter of time before they're in serious trouble."
Hassan Yousuf Saleem,GB,,14 Sept 2021,"We used airbnb to book our holiday, I would advise anyone to do this at their own risk.  We had two bookings for our holiday, considering our travel plans had already been arranged it was so frustrating to find out our second booking had been cancelled by the host a few days before we were meant to leave.  At this point all airbnb could do was to issue a refund and a coupon as a ""goodwill gesture"". They couldn't help us find another location to stay as nothing was available.Now I assume they expected us to use the coupon for the same holiday, as it has terms and conditions which stated it needed to be used on a booking equal or greater to the original booking, we couldn't use it at the time as I said there was nothing available.So we were left with a ""goodwill gesture"" that couldn't be used as it would expire in a months time and airbnb were unwilling to extend the expiry date for the coupon.  For a billion-dollar company, handing out a measly coupon with strict terms and conditions just comes across as cheap and not very friendly at all."
Luiz F. Bianchi,GB,,12 Sept 2021,"On Tuesday 31/08 I rented a ""whole place"" in airbnb to spend a couple of days near Alicante/Spain with my wife. It was by no means a cheap place and we were looking forward to it.When we got to the place, the neighbourhood was very dodgy and there were two locked doors to rooms inside the apartment, we did not feel safe in there at all.We decided to leave even before the first night and asked the host and airbnb for a refund on the unused fees (cleaning fee, service fee and remaining nights).Airbnb dodged all our requests and refused to help, even though we opened a call on the ""I do not feel safe."" button, it pretty much felt like the button is completely useless.When you try to rent a place in Airbnb it does not show you the address so you simply cannot gauge the safety of the neighbourhood, how are we supposed to be safe if:1- Airbnb does not help you when you make a call.2- Airbnb does not let you see the surroundings of the place before booking it.The one saviour was Booking.com, which got us a great accommodation on a very late time of the night (after 10pm). Having been a client of Airbnb for many years now, I feel very disappointed with the level of customer service provided, specially considering a safety matter.From now on I will think way more than twice before closing a deal with Airbnb."
Elizabeth Wilson,GB,,Updated 30 Aug 2021,"We were disappointed that there was no welcome pack in the lodge. After a horrendous journey of 12 hours, we arrived at Squirrel lodge at 8.30pm only to find that we couldn't even get a cup of tea and all local shops were closed. The double bed was not very comfortable and every time my husband turned over it creaked like mad and woke me up.A nicely located clean lodge and Charlie the host did respond quickly to messages but all other Airbnb accommodation we have used supplied tea and coffee. Maybe something to consider?"
